Porosity,Permeability_1,Permeability_2,Permeability_3,Error
1.079602e-01,1.756129e-13,9.117722e-14,6.573237e-13,7.836260e-05
1.602119e-01,6.061410e-13,2.091331e-13,1.508273e-13,3.653955e-04
2.636980e-01,6.619337e-14,5.514919e-13,1.721162e-13,2.989814e-05
2.273478e-01,4.856695e-13,3.144773e-13,3.817945e-13,3.245355e-04
2.674756e-01,5.119667e-13,9.850500e-13,2.806630e-13,3.713836e-04
1.682155e-01,8.076001e-13,7.861141e-13,5.824588e-13,5.157447e-04
1.501008e-01,4.147201e-13,8.084989e-13,8.785446e-13,2.148947e-04
2.441709e-01,4.789744e-13,7.553926e-13,8.320057e-14,3.317908e-04
1.674550e-01,6.899383e-13,7.602773e-13,6.698156e-13,4.281757e-04
2.438076e-01,8.140424e-13,4.268057e-13,8.535772e-13,6.251009e-04
1.324896e-01,5.417957e-13,5.908499e-13,7.708404e-13,3.033809e-04
2.071197e-01,9.275908e-13,9.247832e-13,9.891722e-13,6.635418e-04
2.182897e-01,4.826215e-13,1.640104e-13,3.391090e-13,3.210947e-04
1.728627e-01,3.741299e-13,5.319490e-13,9.746896e-13,1.961969e-04
1.235632e-01,5.536765e-13,2.031986e-13,6.151916e-13,3.157196e-04
2.292277e-01,2.922107e-13,1.975664e-13,4.774817e-13,1.601085e-04
2.414218e-01,7.556302e-13,8.069759e-13,1.491572e-13,5.671397e-04
1.390308e-01,8.863366e-13,3.324323e-13,7.266083e-13,5.406489e-04
2.219990e-01,9.424481e-13,7.232176e-13,6.943424e-13,7.122941e-04
1.509687e-01,2.413994e-13,9.282922e-13,6.542095e-13,9.638673e-05
1.424575e-01,2.010471e-13,7.055398e-13,8.175867e-13,7.300645e-05
2.684121e-01,2.395341e-13,6.662745e-13,2.108925e-13,1.265761e-04
1.478738e-01,8.503423e-14,2.960322e-13,3.574225e-13,4.359842e-05
1.353220e-01,7.396949e-14,2.586840e-14,2.889961e-13,5.008948e-05
1.532852e-01,5.575496e-13,5.480406e-13,3.542867e-13,3.232102e-04
2.925596e-01,4.938325e-13,9.561167e-13,2.185354e-13,3.682070e-04
1.962202e-01,8.351800e-13,8.919407e-13,4.446263e-13,5.815421e-04
1.350998e-01,4.725543e-13,3.970732e-13,5.455402e-13,2.545771e-04
1.639421e-01,4.545928e-13,1.311592e-13,1.320022e-13,2.538058e-04
1.230854e-01,5.631372e-13,9.276907e-14,3.140844e-13,3.219642e-04
1.186770e-01,8.301204e-13,7.714573e-13,9.415365e-13,4.985871e-04
1.807213e-01,3.964290e-13,9.945180e-13,3.381070e-13,2.198003e-04
1.379944e-01,5.946248e-13,6.586729e-13,3.164223e-13,3.383198e-04
1.595122e-01,5.796852e-13,1.769864e-13,7.276789e-13,3.458467e-04
1.121624e-01,8.612984e-14,8.924502e-13,1.619474e-13,5.779435e-05
2.925670e-01,6.040655e-13,1.929396e-13,8.270910e-13,4.702465e-04
1.196493e-01,9.671777e-13,6.991255e-13,1.280831e-13,5.928684e-04
1.049075e-01,4.384138e-13,9.572201e-13,7.292401e-13,2.425016e-04
2.627934e-01,5.971851e-13,6.636475e-13,7.286428e-13,4.460082e-04
1.662973e-01,7.764152e-13,3.564710e-13,3.467318e-13,4.919681e-04
2.305865e-01,8.127019e-13,4.370206e-13,8.720852e-13,6.039018e-04
1.385886e-01,9.099798e-13,3.574391e-13,5.958422e-13,5.571514e-04
2.648734e-01,5.478917e-13,9.806397e-13,3.603126e-13,4.024735e-04
2.705074e-01,9.544649e-13,8.451874e-14,2.892100e-13,7.740396e-04
